,,01.01.2020,,,,,,,,,,,
,,Fare Stages   ,,,,,,,,,,,
,,,,,,,,,,,,,
ppppp,For,S.No.,Route No.,From,To,Fare Stages Up Direction,Fare Stages Down Direction,Route Length,Date ,Non AC,AC,No. of Buses,Remarks
,Web,1,8,Badar Pur Border ,Noida Phase-II Phool Mandi,1. BADAR PUR  BORDER 2. BADAR PUR 3. ALI VILLAGE 4. SARITA VIHAR CROSSING 5. KALINDI KUNJ  6.YAMUNA BRIDGE EAST CHECK POST 7. MAHAMAYA FLYOVER WEST 8. AMITY SCHOOL 9. NOIDA SEC-37 10. NOIDA SEC-43 POLICE CHOKI SADAR PUR 11. AGHA PUR VILLAGE 12. BAROLA VILLAGE 13. HINDON VIHAR MORE 14.SARIN FARM 15. SADAR PUR VILLAGE 16. NOIDA SEC-82 MORE 17. HOUSARY COMPLEX PETROL PUMP 18. NOIDA PH-II 19. NOIDA PH-II PHOOL MANDI,Down Direction via same as Up Direction,22.0,19.06.2019,17,18,35,
,Web,2,8A,Nehru Place Terminal,Noida Phase-II Phool Mandi,1. NEHRU PLACE TERMINAL 2. PUNJ SONS 3. CROWN PLAZA  4. SARITA VIHAR CROSSING 5. KALINDI KUNJ  6.YAMUNA BRIDGE EAST CHECK POST 7. MAHAMAYA FLYOVER WEST 8. AMITY SCHOOL 9. NOIDA SEC-37 10. POLICE CHOWKI SADAR PUR 11. AGHA PUR VILLAGE 12. BAROLA VILLAGE 13. HINDON VIHAR MORE 14. SARIN FARM 15. SADAR PUR VILLAGE 16. NOIDA SEC-82 MORE 17. HOUSARY COMPLEX PETROL PUMP 18. NOIDA PH-II 19. NOIDA PH-II PHOOL MANDI,Down Direction via same as Up Direction,22.0,19.06.2019,5,,5,
,Web,3,17,Old Delhi Rly. Station,Ramjan Pur Village,1 OLD DELHI RAILWAY STATION 2. TIS HAZARI ANIMAL HOSPITAL / ISBT K. gATE 3. ICE FACTORY 4. CLOCK TOWER 5. R.P. BAGH 6. BARA BAGH 7. ADARSH NAGAR 8. GTK DEPOT 9.. LIBAS PUR GT ROAD. 10. NANGLI POONAM 11. BUDH PUR 12. ALIPUR  13. BAKOULI CROSSING 14. BAKHTAWER PUR SCHOOL 15. BAKHTAWER PUR VILLAGE 16. RAMJAN PUR VILLAGE,Down Direction via same as Up Direction,30.5,19.06.2019,1,,1,
,Web,4,19,Nizamuddin Rly. Station,Jahangir Puri E-Blk.,1. NIZAMUDDIN RAILWAY STATION 2. P.S. NIZAMUDDIN 3. JLN STADIUM (S. PULLAH NALLAH)  4. LODHI ROAD CROSSING 5. PRITHVIRAJ ROAD 6. NIRMAN BHAWAN 7. KRISHI BHAWAN 8. REGAL 9. ND RAILWAY STATION GATE-I  10. P.S.PAHAR GANJ 11. .P.S. SADAR BAZAR  12.  ICE FACTORY  13. MALKA GANJ  14. RP BAGH  15. BARA BAGH  16. ADARSH NAGAR. 17. JAHANGIR PURI E-BLK.,Down Direction via same as Up Direction,28.6,19.06.2019,7,,7,
,Web,5,19A,Palika Kendra,Jahangir Puri E-Blk.,1. PALIKA  KENDRA 2. ND RAILWAY STATION GATE-I  3. P.S.PAHAR GANJ 4. P.S. SADAR BAZAR 5.  ICE FACTORY 6. CLOCK TOWER 7. RP BAGH 8. BARA BAGH 9. ADARSH NAGAR. 10. JAHANGIR PURI E-BLK.,Down Direction via same as Up Direction,17.0,19.06.2019,2,,2,
,Web,6,19B,Jama Masjid,Jahangir Puri E-Blk.,1. JAMA MASJID 2. DELHI GATE 3. AJMERI GATE 4. P.S. PAHAR GANJ 5. G.G.S. MARG CROSSING 6. ICE FACTORY 7. MALKA GANJ 8. R.P. BAGH 9. MODEL TOWN-II 10. ADARSH NAGAR 11. JAHANGIR PURI E-BLOCK,Down Direction via same as Up Direction,18.0,19.06.2019,4,,4,
,Web,7,26,Dr.Mukherjee Nagar Bandh,Sewa Nagar Railway Xing,1. DR.MUKHERJEE NAGAR BANDH 2. GTB NAGAR (HAKIKAT NAGAR)  3 OLD SECTT. 4. ISBT KASHMERE GATE  5. RED FORT 6. DELHI GATE 7. SUPREME COURT 8. SHAHJAHAN RD 9. BHARTI NAGAR 10. LODHI COLONY 11. SEWA NAGAR RLY CROSSING.,Down Direction via same as Up Direction,19.0,19.06.2019,4,,4,
